Fecha_Hora,pH,Oxigeno_Disuelto_mgL,Turbidez_NTU,Temperatura_C,Indice_Calidad_Agua,Clasificacion,Temporada,hora_sin,hora_cos,dia_semana,dia_mes,pH_lag1,turb_lag1,OD_lag1,temp_lag1,pH_lag2,turb_lag2,OD_lag2,temp_lag2,pH_lag4,turb_lag4,OD_lag4,temp_lag4,pH_lag8,turb_lag8,OD_lag8,temp_lag8,pH_lag16,turb_lag16,OD_lag16,temp_lag16,turb_delta1,turb_delta4,turb_delta8,pH_delta1,OD_delta1,temp_delta1,turb_mean_4,turb_std_4,turb_max_4,OD_mean_4,turb_mean_8,turb_std_8,turb_max_8,OD_mean_8,turb_mean_16,turb_std_16,turb_max_16,OD_mean_16,turb_log,anomalia
2026-04-01 04:00:00,7.18,10.6,0.11,23.61,95.8,EXCELENTE,SECO,0.8660254037844386,0.5000000000000001,2,1,7.05,1.01,10.65,23.64,7.03,0.03,10.34,23.88,7.1,0.21,10.45,24.06,7.08,0.12,10.23,24.44,7.12,0.24,10.28,25.39,-0.9,-0.09999999999999999,-0.009999999999999995,0.1299999999999999,-0.05000000000000071,-0.030000000000001137,0.30000000000000004,0.4745524207081868,1.01,10.5475,0.26375,0.33027856208271916,1.01,10.528749999999999,0.24687499999999998,0.23621229857905365,1.01,10.3775,0.10436001532424277,0
2026-04-01 04:15:00,7.04,10.95,0.06,23.17,94.9,EXCELENTE,SECO,0.8660254037844386,0.5000000000000001,2,1,7.18,0.11,10.6,23.61,7.05,1.01,10.65,23.64,7.07,0.05,10.6,23.85,7.08,0.46,10.79,24.37,7.08,0.16,10.28,24.98,-0.05,0.009999999999999995,-0.4,-0.13999999999999968,0.34999999999999964,-0.4399999999999977,0.3025,0.47281955684312943,1.01,10.635,0.21375,0.32658131781052196,1.01,10.54875,0.240625,0.23995746150793754,1.01,10.419375,0.05826890812397577,0
2026-04-01 04:30:00,7.12,10.26,1.19,23.48,96.2,EXCELENTE,SECO,0.8660254037844386,0.5000000000000001,2,1,7.04,0.06,10.95,23.17,7.18,0.11,10.6,23.61,7.03,0.03,10.34,23.88,7.03,0.12,10.47,24.37,7.04,0.26,10.34,25.14,1.13,1.16,1.0699999999999998,0.08000000000000007,-0.6899999999999995,0.3099999999999987,0.5925,0.5909526207742885,1.19,10.615,0.3475,0.47022031310561524,1.19,10.5225,0.29874999999999996,0.33769562231887656,1.19,10.414375,0.7839015438284094,0
2026-04-01 04:45:00,7.09,11.1,0.22,22.74,92.3,EXCELENTE,SECO,0.8660254037844386,0.5000000000000001,2,1,7.12,1.19,10.26,23.48,7.04,0.06,10.95,23.17,7.05,1.01,10.65,23.64,7.1,0.12,10.33,23.92,7.08,0.36,9.9,25.22,-0.97,-0.79,0.1,-0.03000000000000025,0.8399999999999999,-0.740000000000002,0.39499999999999996,0.5341972170150895,1.19,10.7275,0.36000000000000004,0.46460428630948164,1.19,10.618749999999999,0.29000000000000004,0.33781651824622194,1.19,10.489374999999999,0.1988508587451652,0
2026-04-01 05:00:00,7.12,10.77,1.04,23.29,94.3,EXCELENTE,SECO,0.9659258262890683,0.25881904510252074,2,1,7.09,0.22,11.1,22.74,7.12,1.19,10.26,23.48,7.18,0.11,10.6,23.61,7.1,0.21,10.45,24.06,7.09,0.15,9.9,24.65,0.8200000000000001,0.93,0.8300000000000001,0.03000000000000025,-0.33000000000000007,0.5500000000000007,0.6275,0.5699926900116059,1.19,10.77,0.46375,0.5161377861440821,1.19,10.65875,0.345625,0.38342263452574976,1.19,10.543750000000001,0.712949807856125,0
2026-04-01 05:15:00,7.09,10.93,0.07,22.83,95.4,EXCELENTE,SECO,0.9659258262890683,0.25881904510252074,2,1,7.12,1.04,10.77,23.29,7.09,0.22,11.1,22.74,7.04,0.06,10.95,23.17,7.07,0.05,10.6,23.85,7.13,0.15,10.35,24.51,-0.97,0.010000000000000009,0.020000000000000004,-0.03000000000000025,0.16000000000000014,-0.46000000000000085,0.6299999999999999,0.5666862741705796,1.19,10.765,0.46625,0.5138909695367574,1.19,10.7,0.34062499999999996,0.38665175977012356,1.19,10.579999999999998,0.06765864847381481,0
2026-04-01 05:30:00,7.09,10.81,0.02,22.91,95.4,EXCELENTE,SECO,0.9659258262890683,0.25881904510252074,2,1,7.09,0.07,10.93,22.83,7.12,1.04,10.77,23.29,7.12,1.19,10.26,23.48,7.03,0.03,10.34,23.88,7.14,0.37,10.21,24.2,-0.05,-1.17,-0.009999999999999998,0.0,-0.11999999999999922,0.08000000000000185,0.3375,0.4759814422152753,1.04,10.9025,0.465,0.5151144117017665,1.19,10.758750000000001,0.31875,0.394696085615249,1.19,10.6175,0.019802627296179712,0
2026-04-01 05:45:00,7.1,10.62,1.05,22.93,96.1,EXCELENTE,SECO,0.9659258262890683,0.25881904510252074,2,1,7.09,0.02,10.81,22.91,7.09,0.07,10.93,22.83,7.09,0.22,11.1,22.74,7.05,1.01,10.65,23.64,7.08,0.27,10.6,24.6,1.03,0.8300000000000001,0.040000000000000036,0.009999999999999787,-0.19000000000000128,0.019999999999999574,0.545,0.5777254249785677,1.05,10.7825,0.47,0.5213170135065883,1.19,10.754999999999999,0.3675,0.43444217106537897,1.19,10.618749999999999,0.7178397931503169,0
2026-04-01 06:00:00,7.12,10.89,0.36,23.06,95.9,EXCELENTE,SECO,1.0,6.123233995736766e-17,2,1,7.1,1.05,10.62,22.93,7.09,0.02,10.81,22.91,7.12,1.04,10.77,23.29,7.18,0.11,10.6,23.61,7.08,0.12,10.23,24.44,-0.6900000000000001,-0.68,0.25,0.020000000000000462,0.27000000000000135,0.129999999999999,0.375,0.47430651130536544,1.05,10.8125,0.50125,0.5038547835013009,1.19,10.79125,0.3825,0.4294414977619187,1.19,10.66,0.3074846997479606,0
2026-04-01 06:15:00,7.12,10.92,1.09,22.57,95.2,EXCELENTE,SECO,1.0,6.123233995736766e-17,2,1,7.12,0.36,10.89,23.06,7.1,1.05,10.62,22.93,7.09,0.07,10.93,22.83,7.04,0.06,10.95,23.17,7.08,0.46,10.79,24.37,0.7300000000000001,1.02,1.03,0.0,0.02999999999999936,-0.48999999999999844,0.6300000000000001,0.5269408568963567,1.09,10.809999999999999,0.63,0.5065852064841326,1.19,10.7875,0.421875,0.46447416505118994,1.19,10.668125,0.7371640659767197,0
